image,ground_truth,x1,y1,x2,y2,predicted_pixels,ground_truth_pixels,intersection_pixels,union_pixels,iou
apple_01.png,apple_01.png,25,31,437,433,118185,122473,117155,123503,0.9486004388557363
apple_02.png,apple_02.png,65,11,411,356,84770,86917,82618,89069,0.9275730051982171
apple_03.png,apple_03.png,28,72,277,316,43775,43783,42808,44750,0.9566033519553072
apple_04.jpg,apple_04.png,198,161,427,442,49540,46358,44054,51844,0.8497415322891753
apple_05.png,apple_05.png,46,38,325,306,54276,53644,52914,55006,0.9619677853325092
apple_06.png,apple_06.png,58,80,296,313,40672,39389,38905,41156,0.9453056662455049
apple_07.png,apple_07.png,23,46,311,341,61296,61855,60433,62718,0.963567078031825
banana_01.png,banana_01.png,29,16,469,300,43811,43741,42612,44940,0.9481975967957277
banana_02.png,banana_02.png,17,30,520,338,96330,93973,91656,98647,0.9291311443835089
banana_03.jpg,banana_03.png,198,108,534,483,63630,46393,46168,63855,0.7230130765014486
banana_04.jpg,banana_04.png,8,120,640,395,59153,58714,56514,61353,0.9211285511710918
banana_05.jpg,banana_05.png,196,363,317,585,16874,7353,4505,19722,0.22842510901531285
grape_01.jpg,grape_01.png,70,0,295,566,108103,62904,60762,110245,0.5511542473581569
grape_02.jpg,grape_02.png,62,5,517,462,138359,134302,132943,139718,0.9515094690734193
grape_03.jpg,grape_03.png,308,151,978,575,246508,194878,194301,247085,0.7863731104680576
grape_04.jpg,grape_04.png,19,102,677,795,331605,318693,308767,341531,0.9040672735417868
mango_01.jpg,mango_01.png,77,215,257,490,29906,32759,28827,33838,0.8519120515396891
mango_02.jpg,mango_02.png,214,74,362,257,18057,19273,15823,21507,0.7357139535965035
mango_03.jpg,mango_03.png,0,0,256,255,46230,47127,45774,47583,0.9619822205409495
mango_04.jpg,mango_04.png,101,0,346,433,66923,72836,66678,73081,0.9123848880009852
orange_01.jpg,orange_01.png,155,83,504,599,139017,134158,133187,139988,0.9514172643369432
orange_02.jpg,orange_02.png,201,331,398,626,49881,41900,41670,50111,0.8315539502304883
orange_03.jpg,orange_03.png,15,29,580,614,242222,253096,227349,267969,0.8484153017699808
orange_04.jpg,orange_04.png,262,141,603,570,99401,92602,92000,100003,0.9199724008279752
peach_01.jpg,peach_01.png,64,131,336,390,42240,47808,31455,58593,0.5368388715375557
peach_02.jpg,peach_02.png,88,111,483,507,111552,115559,100807,126304,0.7981299087914872
pear_01.jpg,pear_01.png,51,89,148,198,4402,6168,3767,6803,0.5537262972218139
pear_02.jpg,pear_02.png,60,130,306,424,46662,50231,44374,52519,0.844913269483425
pear_03.jpg,pear_03.png,207,68,387,338,30335,30494,22049,38780,0.5685662712738525
watermelon_01.jpg,watermelon_01.png,20,53,733,335,73523,136342,73523,136342,0.5392542283375629
