folder,image,variant,expected_fruit,expected_ripeness,predicted_fruit,predicted_ripeness,confidence,detected,fruit_correct,ripeness_correct,exact_correct
Ripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\-00020_jpg.rf.5b762add9dd976cacd979ab5e7dcf47e.jpg,resized_only,Apple,Ripe,Apple,Ripe,0.9378774166107178,True,True,True,True
Ripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\-00020_jpg.rf.5b762add9dd976cacd979ab5e7dcf47e.jpg,median3_bilateral,Apple,Ripe,Apple,Overripe,0.9215772151947021,True,True,False,False
Ripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\-00020_jpg.rf.5b762add9dd976cacd979ab5e7dcf47e.jpg,median5_bilateral,Apple,Ripe,Apple,Ripe,0.9274937510490417,True,True,True,True
Ripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\-00020_jpg.rf.5b762add9dd976cacd979ab5e7dcf47e.jpg,median3_clahe,Apple,Ripe,Apple,Overripe,0.9160653352737427,True,True,False,False
Ripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\-00020_jpg.rf.5b762add9dd976cacd979ab5e7dcf47e.jpg,median5_clahe,Apple,Ripe,Apple,Overripe,0.9309381246566772,True,True,False,False
Ripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\Screenshot-34-_png.rf.d694470212e66860bd6cf9123f867c66.jpg,resized_only,Apple,Ripe,Apple,Ripe,0.8183884024620056,True,True,True,True
Ripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\Screenshot-34-_png.rf.d694470212e66860bd6cf9123f867c66.jpg,median3_bilateral,Apple,Ripe,Apple,Ripe,0.8093383312225342,True,True,True,True
Ripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\Screenshot-34-_png.rf.d694470212e66860bd6cf9123f867c66.jpg,median5_bilateral,Apple,Ripe,Apple,Ripe,0.753411054611206,True,True,True,True
Ripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\Screenshot-34-_png.rf.d694470212e66860bd6cf9123f867c66.jpg,median3_clahe,Apple,Ripe,Apple,Ripe,0.7960226535797119,True,True,True,True
Ripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\Screenshot-34-_png.rf.d694470212e66860bd6cf9123f867c66.jpg,median5_clahe,Apple,Ripe,Apple,Ripe,0.7516309022903442,True,True,True,True
