folder,category,image,variant,expected_fruit,freshness_label,predicted_fruit,predicted_ripeness,confidence,detected,fruit_correct,rotten_correct
freshapples,original,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshapples\a_f001.png,resized_only,Apple,Fresh,Apple,Unripe,0.6575827598571777,True,True,
freshapples,original,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshapples\a_f001.png,median3_bilateral,Apple,Fresh,Apple,Unripe,0.6337476968765259,True,True,
freshapples,original,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshapples\a_f001.png,median5_bilateral,Apple,Fresh,Apple,Unripe,0.6247679591178894,True,True,
freshapples,original,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshapples\a_f001.png,median3_clahe,Apple,Fresh,Apple,Unripe,0.6580983400344849,True,True,
freshapples,original,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshapples\a_f223.png,resized_only,Apple,Fresh,Apple,Ripe,0.7892827987670898,True,True,
freshapples,original,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshapples\a_f223.png,median3_bilateral,Apple,Fresh,Apple,Ripe,0.7904585003852844,True,True,
freshapples,original,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshapples\a_f223.png,median5_bilateral,Apple,Fresh,Apple,Ripe,0.8162356615066528,True,True,
freshapples,original,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshapples\a_f223.png,median3_clahe,Apple,Fresh,Apple,Rotten,0.6858030557632446,True,True,
freshapples,original,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshapples\Screen Shot 2018-06-08 at 5.34.07 PM.png,resized_only,Apple,Fresh,Apple,Unripe,0.5088382959365845,True,True,
freshapples,original,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshapples\Screen Shot 2018-06-08 at 5.34.07 PM.png,median3_bilateral,Apple,Fresh,Apple,Unripe,0.6159107089042664,True,True,
freshapples,original,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshapples\Screen Shot 2018-06-08 at 5.34.07 PM.png,median5_bilateral,Apple,Fresh,Apple,Unripe,0.6583555340766907,True,True,
freshapples,original,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshapples\Screen Shot 2018-06-08 at 5.34.07 PM.png,median3_clahe,Apple,Fresh,Apple,Unripe,0.5082586407661438,True,True,
freshapples,rotated,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshapples\rotated_by_15_Screen Shot 2018-06-08 at 4.59.49 PM.png,resized_only,Apple,Fresh,Apple,Ripe,0.862712025642395,True,True,
freshapples,rotated,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshapples\rotated_by_15_Screen Shot 2018-06-08 at 4.59.49 PM.png,median3_bilateral,Apple,Fresh,Apple,Ripe,0.880389928817749,True,True,
freshapples,rotated,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshapples\rotated_by_15_Screen Shot 2018-06-08 at 4.59.49 PM.png,median5_bilateral,Apple,Fresh,Apple,Ripe,0.89140784740448,True,True,
freshapples,rotated,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshapples\rotated_by_15_Screen Shot 2018-06-08 at 4.59.49 PM.png,median3_clahe,Apple,Fresh,Apple,Ripe,0.8810040950775146,True,True,
freshapples,rotated,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshapples\rotated_by_45_Screen Shot 2018-06-08 at 5.20.51 PM.png,resized_only,Apple,Fresh,Apple,Ripe,0.8394978046417236,True,True,
freshapples,rotated,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshapples\rotated_by_45_Screen Shot 2018-06-08 at 5.20.51 PM.png,median3_bilateral,Apple,Fresh,Apple,Ripe,0.8050230145454407,True,True,
freshapples,rotated,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshapples\rotated_by_45_Screen Shot 2018-06-08 at 5.20.51 PM.png,median5_bilateral,Apple,Fresh,Apple,Ripe,0.7499704360961914,True,True,
freshapples,rotated,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshapples\rotated_by_45_Screen Shot 2018-06-08 at 5.20.51 PM.png,median3_clahe,Apple,Fresh,Apple,Ripe,0.6258446574211121,True,True,
freshapples,rotated,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshapples\rotated_by_75_Screen Shot 2018-06-08 at 5.33.05 PM.png,resized_only,Apple,Fresh,Apple,Unripe,0.4640735685825348,True,True,
freshapples,rotated,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshapples\rotated_by_75_Screen Shot 2018-06-08 at 5.33.05 PM.png,median3_bilateral,Apple,Fresh,Apple,Unripe,0.8366599678993225,True,True,
freshapples,rotated,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshapples\rotated_by_75_Screen Shot 2018-06-08 at 5.33.05 PM.png,median5_bilateral,Apple,Fresh,Apple,Unripe,0.8913998007774353,True,True,
freshapples,rotated,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshapples\rotated_by_75_Screen Shot 2018-06-08 at 5.33.05 PM.png,median3_clahe,Apple,Fresh,Pear,Ripe,0.4832848906517029,True,False,
