baseline_correct,baseline_ripeness,detected_fruit,expected_fruit,expected_ripeness,gated_correct,gated_model_c_ripeness,gated_ripeness,image,model_c_fruit,model_c_matches_final,raw_model_c_ripeness,status
True,Ripe,Apple,Apple,Ripe,True,Ripe,Ripe,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\-00020_jpg.rf.5b762add9dd976cacd979ab5e7dcf47e.jpg,Apple,True,Ripe,evaluated
True,Ripe,Apple,Apple,Ripe,True,,Ripe,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\Screenshot-34-_png.rf.d694470212e66860bd6cf9123f867c66.jpg,,False,,evaluated
False,Unripe,Apple,Apple,Ripe,False,,Unripe,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\_MG_8993_07_jpg.rf.9313f3115540e2ce479f80db3015a636.jpg,,False,,evaluated
True,Ripe,Apple,Apple,Ripe,True,Ripe,Ripe,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\citra98_jpg.rf.47fe97bc9c1d75048448f69ed3794f20.jpg,Apple,True,Ripe,evaluated
True,Ripe,Apple,Apple,Ripe,True,Ripe,Ripe,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\r0_248_jpg.rf.d6e968c25146c7aa1da74afd25cdb533.jpg,Apple,True,Ripe,evaluated
,,Watermelon,Apple,Ripe,,,,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\r1_192_jpg.rf.998f86f9fa17ed7effd14f618ec55e33.jpg,,,,wrong_fruit
False,Overripe,Apple,Apple,Ripe,False,,Overripe,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\resized_image_3089_jpg.rf.2f9f801ac25aa11cfdd963c906d39b2d.jpg,,False,,evaluated
True,Ripe,Apple,Apple,Ripe,True,Ripe,Ripe,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\slice_29_7_jpeg_jpg.rf.0601fedd7335d6f51fde904075ac6138.jpg,Apple,True,Ripe,evaluated
True,Ripe,Apple,Apple,Ripe,True,Ripe,Ripe,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\slice_46_5_jpeg.rf.2d254828922ce5c63b263b5aa093585b.jpg,Apple,True,Ripe,evaluated
True,Ripe,Apple,Apple,Ripe,True,Ripe,Ripe,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\translation_Screen-Shot-2018-06-08-at-5-08-05-PM_png_jpg.rf.5c4b062d2f5f206fa3dd5e85b91e0501.jpg,Apple,True,Ripe,evaluated
