case_id,source_group,source_image,image,detection_index,fruit_type,detection_confidence,bounding_box,agreement,class_disagreement,class_votes,reliability_status,box_status,support_level,ripeness_status,defect_status,model_c_ripeness,final_ripeness,ripeness_confidence,fruit_area_pixels,blemish_percentage,roi_error
01_01_fruit_bowl,existing_external,C:\Users\Kai\Documents\Image Processing\assgm\image\external_system_evaluation\01_fruit_bowl.jpg,01_fruit_bowl.jpg,1,Apple,0.8450893759727478,"(269, 131, 569, 425)",Model A + Model C + Model D,False,"{""Apple"": 2.2885281443595886}",Accepted,Accepted,Full analysis,Available,Available,Ripe,Ripe,0.9091981768752926,36719,4.798605626514883,
01_01_fruit_bowl,existing_external,C:\Users\Kai\Documents\Image Processing\assgm\image\external_system_evaluation\01_fruit_bowl.jpg,01_fruit_bowl.jpg,2,Apple,0.3942376375198364,"(156, 30, 321, 171)",Model A + Model C,False,"{""Apple"": 0.7673156261444092}",Accepted,Accepted,Full analysis,Available,Available,Ripe,Ripe,0.8475937203911046,4023,1.8891374596072583,
02_02_bowl_of_fruit,existing_external,C:\Users\Kai\Documents\Image Processing\assgm\image\external_system_evaluation\02_bowl_of_fruit.jpg,02_bowl_of_fruit.jpg,1,Orange,0.7712136507034302,"(83, 179, 233, 315)",Model A only,False,"{""Orange"": 0.7712136507034302}",Review required,Accepted,Full analysis,Available,Available,,Ripe,0.745639666422192,15882,1.4733660748016624,
02_02_bowl_of_fruit,existing_external,C:\Users\Kai\Documents\Image Processing\assgm\image\external_system_evaluation\02_bowl_of_fruit.jpg,02_bowl_of_fruit.jpg,2,Orange,0.7581431269645691,"(248, 229, 397, 369)",Model A only,False,"{""Orange"": 0.7581431269645691}",Review required,Accepted,Full analysis,Available,Available,,Ripe,0.553494844048908,20714,3.6207395964082263,
02_02_bowl_of_fruit,existing_external,C:\Users\Kai\Documents\Image Processing\assgm\image\external_system_evaluation\02_bowl_of_fruit.jpg,02_bowl_of_fruit.jpg,3,Orange,0.6941446661949158,"(286, 97, 416, 224)",Model A + Model C,False,"{""Orange"": 1.3072649240493774}",Accepted,Accepted,Full analysis,Available,Available,Ripe,Ripe,0.955489676353174,13439,7.827963390133194,
02_02_bowl_of_fruit,existing_external,C:\Users\Kai\Documents\Image Processing\assgm\image\external_system_evaluation\02_bowl_of_fruit.jpg,02_bowl_of_fruit.jpg,4,Orange,0.5910699367523193,"(420, 186, 563, 323)",Model A only,False,"{""Orange"": 0.5910699367523193}",Review required,Accepted,Full analysis,Available,Available,,Ripe,0.9092959643060868,16639,2.8126690305907807,
02_02_bowl_of_fruit,existing_external,C:\Users\Kai\Documents\Image Processing\assgm\image\external_system_evaluation\02_bowl_of_fruit.jpg,02_bowl_of_fruit.jpg,5,Apple,0.5144214034080505,"(88, 252, 296, 488)",Model C only,False,"{""Apple"": 0.5144214034080505}",Review required,Accepted,Full analysis,Available,Available,Ripe,Ripe,0.6720858777480373,39696,13.313683998387745,
02_02_bowl_of_fruit,existing_external,C:\Users\Kai\Documents\Image Processing\assgm\image\external_system_evaluation\02_bowl_of_fruit.jpg,02_bowl_of_fruit.jpg,6,Orange,0.3032861649990082,"(380, 309, 511, 452)",Model A only,False,"{""Orange"": 0.3032861649990082}",Review required,Accepted,Full analysis,Available,Available,,Ripe,0.6918985978978411,17232,3.702414113277623,
03_03_culinary_fruits,existing_external,C:\Users\Kai\Documents\Image Processing\assgm\image\external_system_evaluation\03_culinary_fruits.jpg,03_culinary_fruits.jpg,1,Watermelon,0.8120383620262146,"(121, 191, 291, 362)",Model A only,False,"{""Watermelon"": 0.8120383620262146}",Review required,Accepted,Detection only,Not evaluated - detection only,Not evaluated - detection only,,,,17424,,
03_03_culinary_fruits,existing_external,C:\Users\Kai\Documents\Image Processing\assgm\image\external_system_evaluation\03_culinary_fruits.jpg,03_culinary_fruits.jpg,2,Apple,0.6895908713340759,"(100, 442, 180, 523)",Model A only,False,"{""Apple"": 0.6895908713340759}",Review required,Accepted,Full analysis,Available,Available,,Ripe,0.5578608734396118,5891,13.54608725173994,
03_03_culinary_fruits,existing_external,C:\Users\Kai\Documents\Image Processing\assgm\image\external_system_evaluation\03_culinary_fruits.jpg,03_culinary_fruits.jpg,3,Banana,0.5914496779441833,"(494, 172, 613, 268)",Model A only,False,"{""Banana"": 0.5914496779441833}",Review required,Accepted,Full analysis,Available,Available,,Ripe,0.5637704427864764,9177,10.504522175002725,
03_03_culinary_fruits,existing_external,C:\Users\Kai\Documents\Image Processing\assgm\image\external_system_evaluation\03_culinary_fruits.jpg,03_culinary_fruits.jpg,4,Pineapple,0.5763799548149109,"(346, 106, 462, 246)",Model A only,False,"{""Pineapple"": 0.5763799548149109}",Review required,Accepted,Detection only,Not evaluated - detection only,Not evaluated - detection only,,,,10558,,
03_03_culinary_fruits,existing_external,C:\Users\Kai\Documents\Image Processing\assgm\image\external_system_evaluation\03_culinary_fruits.jpg,03_culinary_fruits.jpg,5,Apple,0.38346806168556213,"(34, 426, 111, 506)",Model A only,False,"{""Apple"": 0.38346806168556213}",Review required,Accepted,Full analysis,Available,Available,,Unripe,0.8552741948107385,4667,50.93207628026569,
03_03_culinary_fruits,existing_external,C:\Users\Kai\Documents\Image Processing\assgm\image\external_system_evaluation\03_culinary_fruits.jpg,03_culinary_fruits.jpg,6,Banana,0.3175356686115265,"(540, 234, 640, 460)",Model A only,False,"{""Banana"": 0.3175356686115265}",Review required,Accepted,Full analysis,Available,Available,,Ripe,0.761753415634661,16505,12.38412602241745,
04_04_fruits_in_basket,existing_external,C:\Users\Kai\Documents\Image Processing\assgm\image\external_system_evaluation\04_fruits_in_basket.jpg,04_fruits_in_basket.jpg,1,Apple,0.8333866000175476,"(31, 340, 189, 502)",Model A + Model C + Model D,False,"{""Apple"": 2.304360032081604}",Accepted,Accepted,Full analysis,Available,Available,Ripe,Ripe,0.7997533950419355,15952,2.244232698094283,
04_04_fruits_in_basket,existing_external,C:\Users\Kai\Documents\Image Processing\assgm\image\external_system_evaluation\04_fruits_in_basket.jpg,04_fruits_in_basket.jpg,2,Apple,0.805503249168396,"(100, 141, 220, 268)",Model C + Model D,False,"{""Apple"": 1.4805355072021484}",Accepted,Accepted,Full analysis,Available,Available,Ripe,Ripe,0.8865746703668427,7430,14.253028263795425,
04_04_fruits_in_basket,existing_external,C:\Users\Kai\Documents\Image Processing\assgm\image\external_system_evaluation\04_fruits_in_basket.jpg,04_fruits_in_basket.jpg,3,Banana,0.8048253655433655,"(354, 299, 574, 500)",Model A only,False,"{""Banana"": 0.8048253655433655}",Review required,Accepted,Full analysis,Available,Available,,Unripe,0.4338537866341979,16052,5.257911786693247,
04_04_fruits_in_basket,existing_external,C:\Users\Kai\Documents\Image Processing\assgm\image\external_system_evaluation\04_fruits_in_basket.jpg,04_fruits_in_basket.jpg,4,Apple,0.6612926125526428,"(179, 329, 342, 499)",Model A + Model C,False,"{""Apple"": 1.1094559133052826}",Accepted,Accepted,Full analysis,Available,Available,Ripe,Ripe,0.6269091402392747,16245,0.5478608802708526,
