case_id,source_group,source_image,variant,expected_classes,predicted_classes,expected_class_count,hit_count,presence_recall,false_class_count,false_classes,detection_count,rejected_box_count,duplicate_box_count,preprocessing_suitability,blur_status,exposure_status,contrast_status,blur_score
01_01_fruit_bowl,existing_external,C:\Users\Kai\Documents\Image Processing\assgm\image\external_system_evaluation\01_fruit_bowl.jpg,original,Apple; Banana; Orange; Pear,Apple; Apple,4,1,0.25,0,,2,0,1,Acceptable,Acceptable,Acceptable,Acceptable,2257.873055325511
01_01_fruit_bowl,existing_external,C:\Users\Kai\Documents\Image Processing\assgm\image\external_system_evaluation\01_fruit_bowl.jpg,dark_45_percent,Apple; Banana; Orange; Pear,Apple; Apple,4,1,0.25,0,,2,0,1,Acceptable,Acceptable,Acceptable,Acceptable,465.47354516875623
01_01_fruit_bowl,existing_external,C:\Users\Kai\Documents\Image Processing\assgm\image\external_system_evaluation\01_fruit_bowl.jpg,bright_140_percent,Apple; Banana; Orange; Pear,Apple; Apple,4,1,0.25,0,,2,0,1,Review required,Acceptable,Overexposed,Acceptable,3129.275328162361
01_01_fruit_bowl,existing_external,C:\Users\Kai\Documents\Image Processing\assgm\image\external_system_evaluation\01_fruit_bowl.jpg,gaussian_blur_9,Apple; Banana; Orange; Pear,Apple; Apple,4,1,0.25,0,,2,0,1,Acceptable,Acceptable,Acceptable,Acceptable,2134.7191314934607
01_01_fruit_bowl,existing_external,C:\Users\Kai\Documents\Image Processing\assgm\image\external_system_evaluation\01_fruit_bowl.jpg,salt_pepper_1_percent,Apple; Banana; Orange; Pear,Apple; Apple,4,1,0.25,0,,2,0,1,Acceptable,Acceptable,Acceptable,Acceptable,2194.755187194473
01_01_fruit_bowl,existing_external,C:\Users\Kai\Documents\Image Processing\assgm\image\external_system_evaluation\01_fruit_bowl.jpg,rotate_15_degrees,Apple; Banana; Orange; Pear,Apple; Apple,4,1,0.25,0,,2,0,1,Acceptable,Acceptable,Acceptable,Acceptable,2659.800092471562
02_02_bowl_of_fruit,existing_external,C:\Users\Kai\Documents\Image Processing\assgm\image\external_system_evaluation\02_bowl_of_fruit.jpg,original,Apple; Orange,Orange; Orange; Orange; Orange; Apple; Orange,2,2,1.0,0,,6,0,4,Acceptable,Acceptable,Acceptable,Acceptable,990.0591091567394
02_02_bowl_of_fruit,existing_external,C:\Users\Kai\Documents\Image Processing\assgm\image\external_system_evaluation\02_bowl_of_fruit.jpg,dark_45_percent,Apple; Orange,Orange; Orange; Orange,2,1,0.5,0,,3,0,2,Acceptable,Acceptable,Acceptable,Acceptable,207.47563478245743
02_02_bowl_of_fruit,existing_external,C:\Users\Kai\Documents\Image Processing\assgm\image\external_system_evaluation\02_bowl_of_fruit.jpg,bright_140_percent,Apple; Orange,Orange; Mango; Orange; Orange,2,1,0.5,1,Mango,4,0,2,Review required,Acceptable,Overexposed,Acceptable,1209.5227669373696
02_02_bowl_of_fruit,existing_external,C:\Users\Kai\Documents\Image Processing\assgm\image\external_system_evaluation\02_bowl_of_fruit.jpg,gaussian_blur_9,Apple; Orange,Orange; Orange; Orange; Orange; Apple,2,2,1.0,0,,5,0,3,Acceptable,Acceptable,Acceptable,Acceptable,621.308315088129
02_02_bowl_of_fruit,existing_external,C:\Users\Kai\Documents\Image Processing\assgm\image\external_system_evaluation\02_bowl_of_fruit.jpg,salt_pepper_1_percent,Apple; Orange,Orange; Orange; Orange; Orange; Apple; Orange,2,2,1.0,0,,6,0,4,Acceptable,Acceptable,Acceptable,Acceptable,979.317158492082
02_02_bowl_of_fruit,existing_external,C:\Users\Kai\Documents\Image Processing\assgm\image\external_system_evaluation\02_bowl_of_fruit.jpg,rotate_15_degrees,Apple; Orange,Orange; Orange; Orange; Orange,2,1,0.5,0,,4,0,3,Acceptable,Acceptable,Acceptable,Acceptable,1619.9346904372621
03_03_culinary_fruits,existing_external,C:\Users\Kai\Documents\Image Processing\assgm\image\external_system_evaluation\03_culinary_fruits.jpg,original,Apple; Banana; Grape; Mango; Melon; Orange; Pear; Pineapple; Watermelon,Watermelon; Apple; Banana; Pineapple; Apple; Banana,9,4,0.4444444444444444,0,,6,0,2,Acceptable,Acceptable,Acceptable,Acceptable,5543.614692363804
03_03_culinary_fruits,existing_external,C:\Users\Kai\Documents\Image Processing\assgm\image\external_system_evaluation\03_culinary_fruits.jpg,dark_45_percent,Apple; Banana; Grape; Mango; Melon; Orange; Pear; Pineapple; Watermelon,Watermelon; Banana; Apple; Pineapple; Apple,9,4,0.4444444444444444,0,,5,0,1,Review required,Acceptable,Underexposed,Acceptable,1129.274982510999
