image,folder,expected_fruit,preprocessing_suitability,blur_status,exposure_status,contrast_status,blur_score,current_top_prediction,current_top_confidence,current_top1_correct,current_any_hit,current_detection_count,current_expected_box_count,current_extra_expected_boxes,current_false_positive_count,current_predictions,current_model_a_raw_count,current_model_c_raw_count,current_model_d_raw_count,restricted_model_a_top_prediction,restricted_model_a_top_confidence,restricted_model_a_top1_correct,restricted_model_a_any_hit,restricted_model_a_detection_count,restricted_model_a_expected_box_count,restricted_model_a_extra_expected_boxes,restricted_model_a_false_positive_count,restricted_model_a_predictions,restricted_model_a_model_a_raw_count,restricted_model_a_model_c_raw_count,restricted_model_a_model_d_raw_count
C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshapples\Screen Shot 2018-06-08 at 5.34.07 PM.png,freshapples,Apple,Review required,Acceptable,Overexposed,Acceptable,565.2122124842147,Apple,0.9415807723999023,True,True,1,1,0,0,Apple,1,1,1,Apple,0.8646125197410583,True,True,1,1,0,0,Apple,0,1,1
C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshapples\a_f223.png,freshapples,Apple,Review required,Acceptable,Overexposed,Acceptable,806.6761071049713,Apple,0.9392246603965759,True,True,1,1,0,0,Apple,1,1,1,Apple,0.9320282936096191,True,True,1,1,0,0,Apple,0,1,1
C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshapples\rotated_by_15_Screen Shot 2018-06-08 at 4.59.49 PM.png,freshapples,Apple,Review required,Acceptable,Overexposed,Acceptable,4498.581059853714,Apple,0.9482187628746033,True,True,1,1,0,0,Apple,1,1,1,Apple,0.89140784740448,True,True,1,1,0,0,Apple,0,1,1
C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshapples\rotated_by_75_Screen Shot 2018-06-08 at 5.33.05 PM.png,freshapples,Apple,Review required,Acceptable,Overexposed,Acceptable,2456.597000381083,Apple,0.8913999199867249,True,True,1,1,0,0,Apple,1,1,1,Apple,0.8913999199867249,True,True,1,1,0,0,Apple,0,1,1
C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshapples\saltandpepper_Screen Shot 2018-06-08 at 5.00.12 PM.png,freshapples,Apple,Review required,Acceptable,Overexposed,Acceptable,714.8302033697178,Apple,0.9373868107795715,True,True,1,1,0,0,Apple,1,1,1,Apple,0.7489656209945679,True,True,1,1,0,0,Apple,0,1,1
C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshapples\saltandpepper_Screen Shot 2018-06-08 at 5.34.14 PM.png,freshapples,Apple,Acceptable,Acceptable,Acceptable,Acceptable,868.9761756369099,Watermelon,0.6446337103843689,False,False,1,0,0,1,Watermelon,3,1,1,Watermelon,0.6446337103843689,False,False,1,0,0,1,Watermelon,1,1,1
C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshapples\translation_Screen Shot 2018-06-08 at 4.59.36 PM.png,freshapples,Apple,Acceptable,Acceptable,Acceptable,Acceptable,7324.25024102141,Apple,0.9248734712600708,True,True,1,1,0,0,Apple,1,1,1,Apple,0.879474401473999,True,True,1,1,0,0,Apple,0,1,1
C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshapples\translation_Screen Shot 2018-06-08 at 5.33.05 PM.png,freshapples,Apple,Review required,Acceptable,Overexposed,Acceptable,5728.205313545332,Apple,0.9322026371955872,True,True,1,1,0,0,Apple,2,2,1,Apple,0.9322026371955872,True,True,1,1,0,0,Apple,0,2,1
C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshapples\vertical_flip_Screen Shot 2018-06-08 at 4.59.49 PM.png,freshapples,Apple,Review required,Acceptable,Overexposed,Acceptable,412.86627509299336,Apple,0.9363768696784973,True,True,1,1,0,0,Apple,1,1,1,Apple,0.9283862709999084,True,True,1,1,0,0,Apple,0,1,1
C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshapples\vertical_flip_Screen Shot 2018-06-08 at 5.33.27 PM.png,freshapples,Apple,Acceptable,Acceptable,Acceptable,Acceptable,655.8078865073621,Apple,0.9162537455558777,True,True,1,1,0,0,Apple,1,1,1,Apple,0.9162537455558777,True,True,1,1,0,0,Apple,0,1,1
